,date_time,injured,killed,street_name_primary,street_name_intersecting
82084,2021-08,2,0,CLAIREMONT DRIVE,
82085,2021-08,2,0,CLAIREMONT DRIVE,
82086,2021-08,2,0,CLAIREMONT DRIVE,
82087,2021-08,0,0,GENESEE AVENUE,
82088,2021-08,0,0,GENESEE AVENUE,
82091,2021-08,1,0,MIDWAY DRIVE,
82092,2021-08,1,0,MIDWAY DRIVE,
82093,2021-08,1,0,MIDWAY DRIVE,
82094,2021-08,2,0,KEARNY VILLA ROAD,
82095,2021-08,2,0,KEARNY VILLA ROAD,
82096,2021-08,2,0,FOOTHILL BOULEVARD,TURQUOISE STREET
82097,2021-08,2,0,FOOTHILL BOULEVARD,TURQUOISE STREET
82102,2021-08,0,0,FRIARS ROAD,
82103,2021-08,0,0,FRIARS ROAD,
82104,2021-08,1,0,VOLTAIRE STREET,
82105,2021-08,1,0,VOLTAIRE STREET,
82106,2021-08,2,0,GILMAN DRIVE,
82107,2021-08,2,0,GILMAN DRIVE,
82108,2021-08,2,0,GILMAN DRIVE,
82109,2021-08,0,0,SUNSET CLIFFS BOULEVARD,
82110,2021-08,0,0,SUNSET CLIFFS BOULEVARD,
82111,2021-08,0,0,SUNSET CLIFFS BOULEVARD,
82115,2021-08,1,0,COLLEGE AVENUE,
82117,2021-08,0,0,UNIVERSITY AVENUE,
82120,2021-08,1,0,RANCHO CARMEL DRIVE,
82121,2021-08,1,0,RANCHO CARMEL DRIVE,
82127,2021-08,1,0,FEDERAL BOULEVARD,
82128,2021-08,1,0,FEDERAL BOULEVARD,
82129,2021-08,1,0,IMPERIAL AVENUE,
82130,2021-08,1,0,IMPERIAL AVENUE,
82131,2021-08,0,0,PARADISE VALLEY ROAD,WOODMAN STREET
82132,2021-08,0,0,PARADISE VALLEY ROAD,WOODMAN STREET
82133,2021-08,1,0,ZOO PLACE,
82134,2021-08,0,0,CLAIREMONT MESA BOULEVARD,
82135,2021-08,2,0,EL CAJON BOULEVARD,EL CAJON BOULEVARD
82136,2021-08,2,0,EL CAJON BOULEVARD,EL CAJON BOULEVARD
82137,2021-08,2,0,EL CAJON BOULEVARD,EL CAJON BOULEVARD
82141,2021-08,1,0,MARKET STREET,
82142,2021-08,1,0,MARKET STREET,
82147,2021-08,0,0,NIMITZ BOULEVARD,
82148,2021-08,0,0,NIMITZ BOULEVARD,
82149,2021-08,0,0,GENESEE AVENUE,north curb line of Genesee AVENUE
82152,2021-08,1,0,ADAMS AVENUE,NCL 3400 Adams AVENUE
