,date_count,street_name,total_count
1375,2020-01,ACACIA STREET,3550
1376,2007-02,ACENA DRIVE,4530
1377,2010-02,ACENA DRIVE,3900
1378,2013-01,ACENA DRIVE,3648
1379,2017-02,ACENA DRIVE,2839
1380,2008-06,ACORN STREET,4170
1381,2011-06,ACORN STREET,4125
1382,2014-04,ACORN STREET,5835
1383,2021-11,ACTIVITY ROAD,10901
1384,2007-10,ACTIVITY ROAD,12700
1385,2010-09,ACTIVITY ROAD,9045
1386,2013-10,ACTIVITY ROAD,14170
1387,2017-10,ACTIVITY ROAD,11905
1388,2007-09,ACTIVITY ROAD,13250
1389,2010-08,ACTIVITY ROAD,17425
1390,2013-11,ACTIVITY ROAD,13954
1391,2017-09,ACTIVITY ROAD,15253
1392,2021-11,ACTIVITY ROAD,12096
1393,2006-11,ACWORTH AVENUE,3230
1394,2009-11,ACWORTH AVENUE,2740
1395,2016-11,ACWORTH AVENUE,4084
1396,2022-04,ACWORTH AVENUE,4112
1397,2011-06,ACWORTH AVENUE,4295
1398,2014-04,ACWORTH AVENUE,4688
1399,2022-04,ADAMS AVENUE,13837
1400,2005-04,ADAMS AVENUE,14260
1401,2008-05,ADAMS AVENUE,15660
1402,2011-06,ADAMS AVENUE,19760
1403,2014-04,ADAMS AVENUE,13504
1404,2018-04,ADAMS AVENUE,13596
1405,2013-12,ADAMS AVENUE,14416
1406,2011-06,ADAMS AVENUE,15975
1407,2014-04,ADAMS AVENUE,15094
1408,2007-04,ADAMS AVENUE,2970
1409,2010-04,ADAMS AVENUE,2335
1410,2013-04,ADAMS AVENUE,2208
1411,2018-04,ADAMS AVENUE,2249
1412,2021-06,ADAMS AVENUE,2249
1413,2022-04,ADAMS AVENUE,15783
1414,2005-04,ADAMS AVENUE,16540
1415,2008-05,ADAMS AVENUE,18040
1416,2011-06,ADAMS AVENUE,16220
1417,2014-04,ADAMS AVENUE,15350
1418,2018-04,ADAMS AVENUE,15526
1419,2007-04,ADAMS AVENUE,21410
1420,2010-04,ADAMS AVENUE,21045
